poi_id,name,poi_group,lat,lon,nearest_edge_u,nearest_edge_v,nearest_edge_key,access_node,network_distance_from_start_m,desired_count,candidate_limit
5113470953,Kalburcu Mehmet Parki,park_garden,41.01741,28.926031,10628471543,10628471542,0,10628471543,3564.2017691130177,1,10
5113470962,Kırımlı park,park_garden,41.016571,28.92432,10628478887,3398220622,0,10628478887,3696.851869020305,1,10
5110342193,Hermes cafe,food,41.014398,28.959041,1260080447,1262447343,0,1260080447,74.57556685765579,1,10
5110342145,Anit kafe,food,41.014798,28.960412,1936898032,311371872,0,1936898032,86.31635536802938,1,10
5110342195,Gülsoy cafe,food,41.014243,28.958915,1262447343,1260080447,0,1262447343,131.49798033136776,1,10
5110342147,tebessüm kafe,food,41.013444,28.961068,10617771287,311367423,0,10617771287,146.39630897530338,1,10
5110342166,Afacan büfe,food,41.015608,28.958845,311371929,1260095496,0,311371929,158.75862906605386,1,10
5110342153,pide cafe bestro,food,41.013541,28.961135,10073446405,1936894885,0,10073446405,161.75007447036006,1,10
5110342187,Vefa Bozacısı 1876,food,41.015324,28.958418,1260095496,311371929,0,1260095496,184.70911733855638,1,10
5110342163,Ahmet usta dürüm,food,41.015527,28.958824,1260095496,311371929,0,1260095496,184.70911733855638,1,10
5110342148,sahra kafe,food,41.013422,28.960766,311367423,10617771287,0,311367423,187.00752114606752,1,10
4293748389,Gül Çay Evi,food,41.01347,28.961237,311367423,10073446405,0,311367423,187.00752114606752,1,10
