poi_id,name,lat,lon,poi_group,poi_category,amenity,tourism,historic,leisure,geometry
5103810805,1453 Cafe,41.01777,28.929053,food,amenity:cafe,cafe,,,,POINT (28.929053 41.01777)
5115937988,7 Gün Kahve Cafe,41.010153,28.929154,food,amenity:cafe,cafe,,,,POINT (28.929154 41.010153)
5113480876,Abu abdo,41.020302,28.948558,food,amenity:cafe,cafe,,,,POINT (28.948558 41.020302)
5106133718,Afrikano Cafe,41.011579,28.938206,food,amenity:cafe,cafe,,,,POINT (28.938206 41.011579)
5081265962,Akasya Cafe ve Kebap,41.013444,28.944685,food,amenity:cafe,cafe,,,,POINT (28.944685 41.013444)
6354022385,Akin Büfe,41.009567,28.966295,food,amenity:cafe,cafe,,,,POINT (28.966295 41.009567)
5113620718,Ala turcs coffe point,41.012501,28.978648,food,amenity:cafe,cafe,,,,POINT (28.978648 41.012501)
5107245415,Albayrak Kafe,41.00661,28.924246,food,amenity:cafe,cafe,,,,POINT (28.924246 41.00661)
11107630706,AlengiR Cafe,41.023298,28.960653,food,amenity:cafe,cafe,,,,POINT (28.960653 41.023298)
5581334622,Ali Baba Kanaat Lokantası,41.015246,28.963464,food,amenity:cafe,cafe,,,,POINT (28.963464 41.015246)
5115937365,Ali Paşa Konağı,41.006899,28.934957,food,amenity:cafe,cafe,,,,POINT (28.934957 41.006899)
5111215141,Altay Büfe,41.006018,28.938578,food,amenity:cafe,cafe,,,,POINT (28.938578 41.006018)
5244801919,Altonita Marmara Cafe,41.003143,28.975018,food,amenity:cafe,cafe,,,,POINT (28.975018 41.003143)
5113615116,Altın marpuç cafe,41.030552,28.938668,food,amenity:cafe,cafe,,,,POINT (28.938668 41.030552)
5081442494,Ammoti Nargile Cafe,41.02341,28.960555,food,amenity:cafe,cafe,,,,POINT (28.960555 41.02341)
5108843722,Anatolian House Cafe,41.008467,28.973879,food,amenity:cafe,cafe,,,,POINT (28.973879 41.008467)
5112750832,Anemas Cafe,41.038212,28.941596,food,amenity:cafe,cafe,,,,POINT (28.941596 41.038212)
5110342145,Anit kafe,41.014798,28.960412,food,amenity:cafe,cafe,,,,POINT (28.960412 41.014798)
5243949941,Antik cafe,41.021062,28.94588,food,amenity:cafe,cafe,,,,POINT (28.94588 41.021062)
5113465232,Araf coffe,41.01832,28.952749,food,amenity:cafe,cafe,,,,POINT (28.952749 41.01832)
5113465241,Araf coffe lab,41.018507,28.9531,food,amenity:cafe,cafe,,,,POINT (28.9531 41.018507)
5113612625,Arap Gıda,41.029022,28.944438,food,amenity:cafe,cafe,,,,POINT (28.944438 41.029022)
5113128235,Aras Baklava Pasta ve Cafe,41.008098,28.953728,food,amenity:cafe,cafe,,,,POINT (28.953728 41.008098)
5244802012,Arch Bistro,41.004636,28.971313,food,amenity:cafe,cafe,,,,POINT (28.971313 41.004636)
5680098121,Archive Cafe & Winehouse,41.003506,28.980613,food,amenity:cafe,cafe,,,,POINT (28.980613 41.003506)
5088192755,Arkadaşım Cafe,41.001951,28.936157,food,amenity:cafe,cafe,,,,POINT (28.936157 41.001951)
5075962032,Arslan cafe,41.012256,28.949235,food,amenity:cafe,cafe,,,,POINT (28.949235 41.012256)
12319472060,Art,41.003796,28.98048,food,amenity:cafe,cafe,,,,POINT (28.98048 41.003796)
13208436902,Artlocalist,41.0301,28.950518,food,amenity:cafe,cafe,,,,POINT (28.950518 41.0301)
5112966977,Arzum cafe nargile,41.003185,28.953224,food,amenity:cafe,cafe,,,,POINT (28.953224 41.003185)
5099062160,As bilardo cafe,41.007513,28.947463,food,amenity:cafe,cafe,,,,POINT (28.947463 41.007513)
5244810628,Aslı Cafe Express,41.00663,28.966913,food,amenity:cafe,cafe,,,,POINT (28.966913 41.00663)
5115938122,Asmalı Cafe,41.007272,28.928666,food,amenity:cafe,cafe,,,,POINT (28.928666 41.007272)
5113465268,Asrı sani cay evi,41.018169,28.951437,food,amenity:cafe,cafe,,,,POINT (28.951437 41.018169)
5113465000,Asude,41.017506,28.951581,food,amenity:cafe,cafe,,,,POINT (28.951581 41.017506)
5115940980,Atabarı,41.00225,28.932896,food,amenity:cafe,cafe,,,,POINT (28.932896 41.00225)
6466135286,Atölye Kafasi,41.027931,28.956161,food,amenity:cafe,cafe,,,,POINT (28.956161 41.027931)
7055231785,Aura Balat,41.026765,28.957717,food,amenity:cafe,cafe,,,,POINT (28.957717 41.026765)
5088197342,Avunç Çay Evi,40.999671,28.928034,food,amenity:cafe,cafe,,,,POINT (28.928034 40.999671)
5243951428,Aylishie cafe,41.021578,28.944237,food,amenity:cafe,cafe,,,,POINT (28.944237 41.021578)
5110344556,Ağa kapısı,41.017405,28.96451,food,amenity:cafe,cafe,,,,POINT (28.96451 41.017405)
5107245391,Aşikar Cafe,41.007098,28.930566,food,amenity:cafe,cafe,,,,POINT (28.930566 41.007098)
5112749119,Aşk-ı Rüba kafe,41.032847,28.945931,food,amenity:cafe,cafe,,,,POINT (28.945931 41.032847)
5088190913,Bab-ı Ali Kafe,41.003859,28.936322,food,amenity:cafe,cafe,,,,POINT (28.936322 41.003859)
5111214101,Baba Ali cafe,41.003954,28.936433,food,amenity:cafe,cafe,,,,POINT (28.936433 41.003954)
5110344581,Babi ali kahvasi,41.016749,28.965647,food,amenity:cafe,cafe,,,,POINT (28.965647 41.016749)
5113465230,Babi yaren,41.018168,28.952713,food,amenity:cafe,cafe,,,,POINT (28.952713 41.018168)
5113465222,Babüsselam,41.017857,28.95216,food,amenity:cafe,cafe,,,,POINT (28.95216 41.017857)
5115933161,Bahar Büfe,40.999986,28.930768,food,amenity:cafe,cafe,,,,POINT (28.930768 40.999986)
5099058122,Bahar Cafe,41.006734,28.942064,food,amenity:cafe,cafe,,,,POINT (28.942064 41.006734)
9688042817,Balat,41.031642,28.946479,food,amenity:cafe,cafe,,,,POINT (28.946479 41.031642)
5112749758,Balat - Ali Denizci,41.033554,28.944282,food,amenity:cafe,cafe,,,,POINT (28.944282 41.033554)
12346458362,Balat Atik Cafe,41.03174,28.948465,food,amenity:cafe,cafe,,,,POINT (28.948465 41.03174)
5081445117,Balat Kahvesi,41.026074,28.958353,food,amenity:cafe,cafe,,,,POINT (28.958353 41.026074)
5112749734,Balat Nargile Cafe,41.032179,28.945548,food,amenity:cafe,cafe,,,,POINT (28.945548 41.032179)
5112749094,Balat Çay Evi,41.033224,28.946259,food,amenity:cafe,cafe,,,,POINT (28.946259 41.033224)
5106127795,Baltepe,41.026189,28.948073,food,amenity:cafe,cafe,,,,POINT (28.948073 41.026189)
10599304205,Balıkçı Murat Abi - Balık ekmek,41.004879,28.969634,food,amenity:cafe,cafe,,,,POINT (28.969634 41.004879)
5111215142,Bambam,41.006083,28.938707,food,amenity:cafe,cafe,,,,POINT (28.938707 41.006083)
6324422485,Bamli cafe,41.015998,28.973434,food,amenity:cafe,cafe,,,,POINT (28.973434 41.015998)
13452482601,Baraka Balat Café,41.028784,28.949624,food,amenity:cafe,cafe,,,,POINT (28.949624 41.028784)
5106132748,Barısta Cafe,41.013993,28.935348,food,amenity:cafe,cafe,,,,POINT (28.935348 41.013993)
5113481328,Başak çay evi,41.021914,28.948982,food,amenity:cafe,cafe,,,,POINT (28.948982 41.021914)
5113500232,Bellis Cafe,41.006837,28.971697,food,amenity:cafe,cafe,,,,POINT (28.971697 41.006837)
3499179015,Beltaş Cafe and Restaurant,41.014048,28.980612,food,amenity:cafe,cafe,,,,POINT (28.980612 41.014048)
9783089118,Beltur,41.012518,28.978838,food,amenity:cafe,cafe,,,,POINT (28.978838 41.012518)
5073094762,Best Kahve,41.012726,28.947826,food,amenity:cafe,cafe,,,,POINT (28.947826 41.012726)
5075962029,Best house cafe,41.013025,28.948493,food,amenity:cafe,cafe,,,,POINT (28.948493 41.013025)
5113465231,Beyrut,41.018253,28.952635,food,amenity:cafe,cafe,,,,POINT (28.952635 41.018253)
4462010814,Beyza Sebzeli Doner,41.017041,28.967876,food,amenity:cafe,cafe,,,,POINT (28.967876 41.017041)
5110344584,Beyzadem kafe,41.017249,28.964372,food,amenity:cafe,cafe,,,,POINT (28.964372 41.017249)
5113465239,Bezmi safa,41.018457,28.952445,food,amenity:cafe,cafe,,,,POINT (28.952445 41.018457)
10066765417,Big Point Cafe & Restaurant,41.010179,28.961331,food,amenity:cafe,cafe,,,,POINT (28.961331 41.010179)
6942719485,BirBen,41.016218,28.973157,food,amenity:cafe,cafe,,,,POINT (28.973157 41.016218)
5711463022,Black Bird Cafe,41.012255,28.955855,food,amenity:cafe,cafe,,,,POINT (28.955855 41.012255)
5110345636,Blue moon cafe,41.011702,28.975052,food,amenity:cafe,cafe,,,,POINT (28.975052 41.011702)
5106132762,Bolulu Hasan Usta,41.014833,28.933541,food,amenity:cafe,cafe,,,,POINT (28.933541 41.014833)
5680020322,Brew Coffe Works,41.015657,28.973896,food,amenity:cafe,cafe,,,,POINT (28.973896 41.015657)
5144584531,Brew Coffeeworks,41.015844,28.973703,food,amenity:cafe,cafe,,,,POINT (28.973703 41.015844)
5113590294,Brio Cafe,41.007757,28.94396,food,amenity:cafe,cafe,,,,POINT (28.94396 41.007757)
5113465011,Bumara,41.019191,28.95101,food,amenity:cafe,cafe,,,,POINT (28.95101 41.019191)
5088192726,CAFE KAMELYA,41.000947,28.933897,food,amenity:cafe,cafe,,,,POINT (28.933897 41.000947)
5099040206,Cadde 14 Çay Evi,41.004565,28.943722,food,amenity:cafe,cafe,,,,POINT (28.943722 41.004565)
3499102997,Cafe 1453,41.017761,28.928928,food,amenity:cafe,cafe,,,,POINT (28.928928 41.017761)
5113465226,Cafe 1453,41.017986,28.952535,food,amenity:cafe,cafe,,,,POINT (28.952535 41.017986)
5113598508,Cafe 56,41.011019,28.938885,food,amenity:cafe,cafe,,,,POINT (28.938885 41.011019)
5110344555,Cafe 90lar,41.017382,28.964496,food,amenity:cafe,cafe,,,,POINT (28.964496 41.017382)
5113495699,Cafe Alkan,41.026002,28.938614,food,amenity:cafe,cafe,,,,POINT (28.938614 41.026002)
5107305859,Cafe Bistmal,41.008007,28.94939,food,amenity:cafe,cafe,,,,POINT (28.94939 41.008007)
5115939288,Cafe Cengiz,41.010525,28.93196,food,amenity:cafe,cafe,,,,POINT (28.93196 41.010525)
10178438641,Cafe Damak,41.00394,28.96519,food,amenity:cafe,cafe,,,,POINT (28.96519 41.00394)
5113590313,Cafe De Keyf,41.008878,28.947394,food,amenity:cafe,cafe,,,,POINT (28.947394 41.008878)
5108828638,Cafe De More,41.014214,28.977404,food,amenity:cafe,cafe,,,,POINT (28.977404 41.014214)
9621298717,Cafe Dora,41.031544,28.94866,food,amenity:cafe,cafe,,,,POINT (28.94866 41.031544)
5113472203,Cafe Dostlar,41.0065,28.923122,food,amenity:cafe,cafe,,,,POINT (28.923122 41.0065)
5110347235,Cafe Erdoğmuş,41.016305,28.974048,food,amenity:cafe,cafe,,,,POINT (28.974048 41.016305)
5107245414,Cafe Esnaf,41.006636,28.924427,food,amenity:cafe,cafe,,,,POINT (28.924427 41.006636)
5115939265,Cafe Flu,41.009534,28.936752,food,amenity:cafe,cafe,,,,POINT (28.936752 41.009534)
5113465229,Cafe Fırat,41.018081,28.952752,food,amenity:cafe,cafe,,,,POINT (28.952752 41.018081)
5108843755,Cafe Grande,41.008219,28.974988,food,amenity:cafe,cafe,,,,POINT (28.974988 41.008219)
5113599425,Cafe Gündoğdu,41.010046,28.938663,food,amenity:cafe,cafe,,,,POINT (28.938663 41.010046)
5088194868,Cafe Harput,41.000022,28.931679,food,amenity:cafe,cafe,,,,POINT (28.931679 41.000022)
5088197345,Cafe Köşk,40.999817,28.930705,food,amenity:cafe,cafe,,,,POINT (28.930705 40.999817)
5244801976,Cafe La Galera,41.004164,28.969241,food,amenity:cafe,cafe,,,,POINT (28.969241 41.004164)
3660214031,Cafe Lindo,41.010403,28.977144,food,amenity:cafe,cafe,,,,POINT (28.977144 41.010403)
12423303001,Cafe Ma,41.037732,28.941281,food,amenity:cafe,cafe,,,,POINT (28.941281 41.037732)
5107305847,Cafe Mari,41.007422,28.949361,food,amenity:cafe,cafe,,,,POINT (28.949361 41.007422)
5244806747,Cafe Mola,41.00897,28.970391,food,amenity:cafe,cafe,,,,POINT (28.970391 41.00897)
5106132755,Cafe Mor,41.014499,28.934328,food,amenity:cafe,cafe,,,,POINT (28.934328 41.014499)
3660215264,Cafe Park,41.010754,28.948092,food,amenity:cafe,cafe,,,,POINT (28.948092 41.010754)
5113126701,Cafe Patika,41.005256,28.93082,food,amenity:cafe,cafe,,,,POINT (28.93082 41.005256)
3090798088,Cafe Rumist,41.006155,28.981168,food,amenity:cafe,cafe,,,,POINT (28.981168 41.006155)
5117628584,Cafe Society,41.017394,28.969548,food,amenity:cafe,cafe,,,,POINT (28.969548 41.017394)
5026474513,Cafe Vatan,41.012256,28.946271,food,amenity:cafe,cafe,,,,POINT (28.946271 41.012256)
5113462481,Cafe dem,41.016853,28.951378,food,amenity:cafe,cafe,,,,POINT (28.951378 41.016853)
5111215197,Cafe deniz,41.006318,28.938171,food,amenity:cafe,cafe,,,,POINT (28.938171 41.006318)
5113611512,Cafe draman,41.029307,28.943044,food,amenity:cafe,cafe,,,,POINT (28.943044 41.029307)
5113612629,Cafe draman,41.028874,28.944788,food,amenity:cafe,cafe,,,,POINT (28.944788 41.028874)
5113599442,Cafe erdoğan,41.008564,28.940313,food,amenity:cafe,cafe,,,,POINT (28.940313 41.008564)
5113471037,Cafe klas,41.016687,28.951509,food,amenity:cafe,cafe,,,,POINT (28.951509 41.016687)
5103810813,Cafe limosa,41.017144,28.930246,food,amenity:cafe,cafe,,,,POINT (28.930246 41.017144)
5113598491,Cafe murat,41.010366,28.941058,food,amenity:cafe,cafe,,,,POINT (28.941058 41.010366)
5243951422,Cafein,41.021314,28.944898,food,amenity:cafe,cafe,,,,POINT (28.944898 41.021314)
5110347236,Caffein dünyası,41.016424,28.973826,food,amenity:cafe,cafe,,,,POINT (28.973826 41.016424)
5485919621,Caffè Nero,41.002794,28.956662,food,amenity:cafe,cafe,,,,POINT (28.956662 41.002794)
12325453048,Caffè Nero,41.030266,28.950088,food,amenity:cafe,cafe,,,,POINT (28.950088 41.030266)
3107414918,Café Sultan,41.017206,28.96435,food,amenity:cafe,cafe,,,,POINT (28.96435 41.017206)
5108843379,Cagaloglu Hamam Cafeterya,41.010518,28.975867,food,amenity:cafe,cafe,,,,POINT (28.975867 41.010518)
5243951969,Cake & K,41.01966,28.94391,food,amenity:cafe,cafe,,,,POINT (28.94391 41.01966)
5113125301,Can Can Cafe,41.00379,28.931253,food,amenity:cafe,cafe,,,,POINT (28.931253 41.00379)
5108828626,Can Restaurant ve Cafe,41.01392,28.977935,food,amenity:cafe,cafe,,,,POINT (28.977935 41.01392)
4747734124,Caribou Coffee,41.010174,28.972885,food,amenity:cafe,cafe,,,,POINT (28.972885 41.010174)
5111215156,Carrahpasa park cafe,41.006536,28.940145,food,amenity:cafe,cafe,,,,POINT (28.940145 41.006536)
