osmid,y,x,street_count,highway,ref,railway,geometry
9741817099,41.0343324,28.9476811,3,,,,POINT (28.9476811 41.0343324)
9741817100,41.0342432,28.9475215,3,,,,POINT (28.9475215 41.0342432)
9741817101,41.0344042,28.9477595,3,,,,POINT (28.9477595 41.0344042)
9741817102,41.0343174,28.9478522,1,,,,POINT (28.9478522 41.0343174)
9741817103,41.0337905,28.9483696,1,,,,POINT (28.9483696 41.0337905)
9741817105,41.0336329,28.9481601,3,,,,POINT (28.9481601 41.0336329)
9741817108,41.0337389,28.9482793,1,,,,POINT (28.9482793 41.0337389)
9741817109,41.0337163,28.9483021,3,,,,POINT (28.9483021 41.0337163)
9741817111,41.0284695,28.9549239,3,,,,POINT (28.9549239 41.0284695)
9741817116,41.0285696,28.9549217,1,,,,POINT (28.9549217 41.0285696)
9741820094,41.0244754,28.9600197,1,,,,POINT (28.9600197 41.0244754)
9741820095,41.0245431,28.9599661,3,,,,POINT (28.9599661 41.0245431)
9741820098,41.0240616,28.9608857,3,,,,POINT (28.9608857 41.0240616)
9741820099,41.0239464,28.9606619,4,,,,POINT (28.9606619 41.0239464)
9741820103,41.0239584,28.9606504,1,,,,POINT (28.9606504 41.0239584)
9741820104,41.0239348,28.9604927,1,,,,POINT (28.9604927 41.0239348)
9741820107,41.0238833,28.9605357,3,,,,POINT (28.9605357 41.0238833)
9741824818,41.0284754,28.9548938,1,,,,POINT (28.9548938 41.0284754)
9741824819,41.028939,28.9540271,3,,,,POINT (28.9540271 41.028939)
9741824821,41.0286759,28.9541036,1,,,,POINT (28.9541036 41.0286759)
9741824824,41.0287876,28.953969,4,,,,POINT (28.953969 41.0287876)
9741824826,41.0286831,28.9540706,3,,,,POINT (28.9540706 41.0286831)
9741840924,41.0290751,28.9534803,3,,,,POINT (28.9534803 41.0290751)
9741840926,41.0372159,28.9454729,3,,,,POINT (28.9454729 41.0372159)
9750157231,40.988782,28.9223357,3,elevator,,,POINT (28.9223357 40.988782)
9750157238,40.9886855,28.9221616,3,,,,POINT (28.9221616 40.9886855)
9750157239,40.9888492,28.9225575,3,,,,POINT (28.9225575 40.9888492)
