poi_id,name,lat,lon,poi_group,poi_category,amenity,tourism,historic,leisure,geometry,nearest_edge_u,nearest_edge_v,nearest_edge_key,distance_to_edge_m
5244803048,Tarihi Çesme Restaurant,41.003512,28.972228,food,amenity:restaurant,restaurant,,,,POINT (28.972228 41.003512),2361227093,248137320,0,6.799230766589886
5244812097,Tarihi Özkan Koftecisi,41.017336,28.968077,food,amenity:restaurant,restaurant,,,,POINT (28.968077 41.017336),2379738168,768676855,0,3.9902833412207768
5106123815,Tarihi Özkan Köftecisi,41.020975,28.942561,food,amenity:restaurant,restaurant,,,,POINT (28.942561 41.020975),12825913094,1060106892,0,4.754110926856443
5099065447,Tat Köfte,41.00905,28.94834,food,amenity:restaurant,restaurant,,,,POINT (28.94834 41.00905),1058892458,1058892562,0,5.922968136625092
5110345304,Tat Sarıoğlu,41.01513,28.972342,food,amenity:restaurant,restaurant,,,,POINT (28.972342 41.01513),252236136,252235307,0,10.63742792821241
5112834056,Tat restaurant,41.008175,28.952062,food,amenity:restaurant,restaurant,,,,POINT (28.952062 41.008175),1058892571,1058892587,0,6.373983254442775
5115937839,Tatlıbak,41.011082,28.931599,food,amenity:restaurant,restaurant,,,,POINT (28.931599 41.011082),316925393,316926059,0,7.4289793200301615
7021235690,Tatpita Boşnak Böreği,41.011164,28.959245,food,amenity:restaurant,restaurant,,,,POINT (28.959245 41.011164),7784240500,256099720,0,6.7973922811630025
12768856301,Tayba Falafel Ve Pide,41.010913,28.944839,food,amenity:restaurant,restaurant,,,,POINT (28.944839 41.010913),13530207311,10093528188,0,12.40278831378002
5110345329,Taş fırın,41.014631,28.972465,food,amenity:restaurant,restaurant,,,,POINT (28.972465 41.014631),311371032,252235307,0,4.270819500233616
5106121849,Tekbir Pide Lahmacun Salonu,41.017723,28.954177,food,amenity:restaurant,restaurant,,,,POINT (28.954177 41.017723),1061624542,1061624522,0,8.278900568101095
5108836350,Terrace Restaurant,41.011959,28.977975,food,amenity:restaurant,restaurant,,,,POINT (28.977975 41.011959),8602032998,278366491,0,7.247584581116376
5088197335,Teyzemin Mutfağı,41.003242,28.93504,food,amenity:restaurant,restaurant,,,,POINT (28.93504 41.003242),1036040420,1036040577,0,3.5821625357537745
5113620631,The Cozy Garden,41.004765,28.979686,food,amenity:restaurant,restaurant,,,,POINT (28.979686 41.004765),278004976,278004987,0,11.991108012438989
