u,v,key,osmid,bridge,highway,lanes,maxspeed,name,oneway,reversed,length,geometry,access,tunnel,width,service,area,ref
1064574503,1064574606,0,91629590,,residential,,,Tatlıcı Sokağı,False,False,62.45385548799189,"LINESTRING (28.9416196 41.0302992, 28.9417615 41.030327, 28.9423035 41.0305175)",,,,,,
1064574513,1064574515,0,91629579,,residential,,,Yörük Sokağı,False,False,8.676338103907392,"LINESTRING (28.9416736 41.0310815, 28.9417125 41.0311538)",,,,,,
1064574513,1064574503,0,91629579,,residential,,,Yörük Sokağı,False,True,95.7791092516944,"LINESTRING (28.9416736 41.0310815, 28.9416113 41.0309502, 28.941504 41.0308207, 28.9414222 41.0307529, 28.9416196 41.0302992)",,,,,,
1064574513,1064222032,0,707601758,,residential,,,Helvacı Hasan Sokağı,False,False,70.33535505306872,"LINESTRING (28.9416736 41.0310815, 28.9414621 41.0311788, 28.9411893 41.0312474, 28.940916 41.0313465)",,,,,,
1064574515,1064574513,0,91629579,,residential,,,Yörük Sokağı,False,True,8.676338103907392,"LINESTRING (28.9417125 41.0311538, 28.9416736 41.0310815)",,,,,,
1064574515,1064574517,0,329842629,,residential,,,Yörük Sokağı,False,False,33.054903877553215,"LINESTRING (28.9417125 41.0311538, 28.9418768 41.031424)",,,,,,
1064574515,2370789869,0,91629580,,residential,,,Helvacı Hasan Sokağı,False,True,56.45952636727792,"LINESTRING (28.9417125 41.0311538, 28.942015 41.0309441, 28.9422152 41.0308163)",,,,,,
1064574517,1064574515,0,329842629,,residential,,,Yörük Sokağı,False,True,33.054903877553215,"LINESTRING (28.9418768 41.031424, 28.9417125 41.0311538)",,,,,,
1064574517,1064574558,0,91629581,,residential,,,Cambaz Sokağı,False,False,84.82254227528794,"LINESTRING (28.9418768 41.031424, 28.9421094 41.031272, 28.9425836 41.03088)",,,,,,
1064574517,10610497382,0,329842629,,residential,,,Yörük Sokağı,False,False,23.4032352413835,"LINESTRING (28.9418768 41.031424, 28.9418812 41.0314439, 28.9420043 41.03161)",,,,,,
1064574539,1102850429,0,241036874,,tertiary,,,Sultan Çeşmesi Caddesi,False,False,82.88652136962828,"LINESTRING (28.9421372 41.0319206, 28.9422323 41.0320665, 28.9424265 41.0323056, 28.9425813 41.0324468, 28.9427227 41.0325)",,,,,,
1064574539,1102850424,0,329841798,,tertiary,,,Sultan Çeşme Caddesi,False,True,26.899749921593077,"LINESTRING (28.9421372 41.0319206, 28.9419212 41.0318358, 28.9418488 41.0318156)",,,,,,
1064574539,10610497382,0,329842629,,residential,,,Yörük Sokağı,False,True,37.313353682074634,"LINESTRING (28.9421372 41.0319206, 28.9421309 41.0317808, 28.9420043 41.03161)",,,,,,
1064574547,2370789869,0,91629580,,residential,,,Helvacı Hasan Sokağı,False,False,21.005285456461337,"LINESTRING (28.942404 41.0306922, 28.9422152 41.0308163)",,,,,,
1064574547,1064574606,0,329823728,,residential,,,Kesmekaya Caddesi,False,False,21.1760851529365,"LINESTRING (28.942404 41.0306922, 28.9423035 41.0305175)",,,,,,
1064574547,1064574558,0,329823728,,residential,,,Kesmekaya Caddesi,False,True,25.889987890260233,"LINESTRING (28.942404 41.0306922, 28.9425044 41.0308172, 28.9425836 41.03088)",,,,,,
1064574558,1064574517,0,91629581,,residential,,,Cambaz Sokağı,False,True,84.82254227528794,"LINESTRING (28.9425836 41.03088, 28.9421094 41.031272, 28.9418768 41.031424)",,,,,,
1064574558,1064574547,0,329823728,,residential,,,Kesmekaya Caddesi,False,False,25.889987890260233,"LINESTRING (28.9425836 41.03088, 28.9425044 41.0308172, 28.942404 41.0306922)",,,,,,
1064574558,1064574581,0,329823728,,residential,,,Kesmekaya Caddesi,False,True,21.16798697170295,"LINESTRING (28.9425836 41.03088, 28.9426413 41.0308854, 28.9428317 41.0309143)",,,,,,
1064574564,3367673711,0,91629584,,residential,,,Sebze Bostanı Sokağı,False,False,15.742429558954125,"LINESTRING (28.9443462 41.0301011, 28.9441587 41.0301072)",,,,,,
1064574564,1064574449,0,"[136456156, 91629599]",,tertiary,,,Draman Cesmesi Sokağı,False,False,68.89893122465732,"LINESTRING (28.9443462 41.0301011, 28.9443336 41.0301683, 28.9443029 41.0306699, 28.9443155 41.0307186)",,,,,,
1064574564,3367673712,0,91629599,,tertiary,,,Draman Cesmesi Sokağı,False,True,61.460424286973506,"LINESTRING (28.9443462 41.0301011, 28.9443746 41.0299995, 28.9443968 41.0298899, 28.9443839 41.0295954, 28.9443747 41.0295526)",,,,,,
1064574581,1064574407,0,91629584,,residential,,,Sebze Bostanı Sokağı,False,True,27.522606870512803,"LINESTRING (28.9428317 41.0309143, 28.9429846 41.0308318, 28.943074 41.0307504)",,,,,,
1064574581,1064574558,0,329823728,,residential,,,Kesmekaya Caddesi,False,False,21.16798697170295,"LINESTRING (28.9428317 41.0309143, 28.9426413 41.0308854, 28.9425836 41.03088)",,,,,,
1064574581,1102850503,0,329823728,,residential,,,Kesmekaya Caddesi,False,True,41.187985810172236,"LINESTRING (28.9428317 41.0309143, 28.9428934 41.0309471, 28.9432276 41.0311334)",,,,,,
1064574606,1064574547,0,329823728,,residential,,,Kesmekaya Caddesi,False,True,21.1760851529365,"LINESTRING (28.9423035 41.0305175, 28.942404 41.0306922)",,,,,,
1064574606,1064574503,0,91629590,,residential,,,Tatlıcı Sokağı,False,True,62.45385548799189,"LINESTRING (28.9423035 41.0305175, 28.9417615 41.030327, 28.9416196 41.0302992)",,,,,,
1064574606,1064222673,0,329823728,,residential,,,Kesmekaya Caddesi,False,False,99.45232660476171,"LINESTRING (28.9423035 41.0305175, 28.9422537 41.0302936, 28.942121 41.0301266, 28.9417721 41.029734)",,,,,,
1064574615,1064574616,0,91629587,,residential,,,Keçeci Sokağı,False,False,55.79559538073847,"LINESTRING (28.9414638 41.0302561, 28.9415374 41.0297574)",,,,,,
1064574615,1064574503,0,91629590,,residential,,,Tatlıcı Sokağı,False,False,13.919761703050838,"LINESTRING (28.9414638 41.0302561, 28.9416196 41.0302992)",,,,,,
1064574615,1064574634,0,91629590,,residential,,,Tatlıcı Sokağı,False,True,20.9585376531412,"LINESTRING (28.9414638 41.0302561, 28.9412143 41.030246)",,,,,,
1064574616,1064574615,0,91629587,,residential,,,Keçeci Sokağı,False,True,55.79559538073847,"LINESTRING (28.9415374 41.0297574, 28.9414638 41.0302561)",,,,,,
1064574616,1064222060,0,136456157,,tertiary,,,Draman Caddesi,False,False,27.81827315076482,"LINESTRING (28.9415374 41.0297574, 28.9412148 41.0298154)",,,,,,
1064574616,1064222673,0,136456157,,tertiary,,,Draman Caddesi,False,True,19.858332330614807,"LINESTRING (28.9415374 41.0297574, 28.9417721 41.029734)",,,,,,
1064574634,1064574615,0,91629590,,residential,,,Tatlıcı Sokağı,False,False,20.9585376531412,"LINESTRING (28.9412143 41.030246, 28.9414638 41.0302561)",,,,,,
1064574634,1064574637,0,91629590,,residential,,,Tatlıcı Sokağı,False,True,50.517127359243695,"LINESTRING (28.9412143 41.030246, 28.9406121 41.0302405)",,,,,,
1064574634,3367890167,0,91629578,,residential,,,Saldırma Sokağı,False,False,37.591033388357054,"LINESTRING (28.9412143 41.030246, 28.9411556 41.0303267, 28.9409952 41.0305409)",,,,,,
1064574637,1064574634,0,91629590,,residential,,,Tatlıcı Sokağı,False,False,50.517127359243695,"LINESTRING (28.9406121 41.0302405, 28.9412143 41.030246)",,,,,,
1064574637,1064222017,0,136456157,,tertiary,,,Draman Caddesi,False,False,22.8078836906655,"LINESTRING (28.9406121 41.0302405, 28.9404533 41.030407)",,,,,,
1064574637,1064221933,0,136456157,,tertiary,,,Draman Caddesi,False,True,19.66455423320172,"LINESTRING (28.9406121 41.0302405, 28.940769 41.0301091)",,,,,,
1064574638,1064574496,0,241036873,,tertiary,,,Salma Tomruk Caddesi,False,False,26.80550611615773,"LINESTRING (28.9405063 41.0305291, 28.9405349 41.0307692)",,,,,,
1064574638,1064222017,0,241036873,,tertiary,,,Salma Tomruk Caddesi,False,True,14.286253011668379,"LINESTRING (28.9405063 41.0305291, 28.9404533 41.030407)",,,,,,
1064574638,3367890167,0,91629591,,residential,,,Kariye Hanı Sokağı,False,False,41.036385933210646,"LINESTRING (28.9405063 41.0305291, 28.9409341 41.0305415, 28.9409952 41.0305409)",,,,,,
1064574651,1064574652,0,91629593,,residential,,,Yeni Usul Sokağı,False,False,55.459770704226614,"LINESTRING (28.9403933 41.0334148, 28.9408752 41.0330733)",,,,,,
1064574651,12356540402,0,329838063,,tertiary,,,Hoca Çakir Caddesi,False,False,19.13523449123804,"LINESTRING (28.9403933 41.0334148, 28.9402084 41.033314)",,,,,,
1064574651,12356540412,0,329838063,,tertiary,,,Hoca Çakir Caddesi,False,True,25.12633912903029,"LINESTRING (28.9403933 41.0334148, 28.9406398 41.0335432)",,,,,,
1064574652,1064574651,0,91629593,,residential,,,Yeni Usul Sokağı,False,True,55.459770704226614,"LINESTRING (28.9408752 41.0330733, 28.9403933 41.0334148)",,,,,,
1064574652,1064574784,0,329836654,,residential,,,Ulubatlı Hasan Sokağı,False,False,26.098017076880627,"LINESTRING (28.9408752 41.0330733, 28.9406929 41.0328831)",,,,,,
1064574652,1064574664,0,329836654,,residential,,,Ulubatlı Hasan Sokağı,False,True,24.251797669660885,"LINESTRING (28.9408752 41.0330733, 28.9410402 41.0332524)",,,,,,
1064574652,1064574655,0,91629593,,residential,,,Yeni Usul Sokağı,False,False,46.29834411754804,"LINESTRING (28.9408752 41.0330733, 28.9409823 41.0330584, 28.9414203 41.033008)",,,,,,
1064574655,1064574697,0,91629604,,residential,,,Karagözcü Sokağı,False,False,17.883041236677123,"LINESTRING (28.9414203 41.033008, 28.9413434 41.032858)",,,,,,
1064574655,1064574666,0,91629604,,residential,,,Karagözcü Sokağı,False,True,20.19951189518885,"LINESTRING (28.9414203 41.033008, 28.9414962 41.0331804)",,,,,,
