routing_algorithm,selected_poi_ids,selected_poi_names,selected_poi_groups,total_length_m,distance_error_m,within_target_range,segment_lengths_m,route_node_count
astar,5110342145 | 6916379085 | 5244807882 | 8735018410,Anit kafe | İstanbul’un Orta Noktası | Merzifonlu Kara Mustafa Paşa Medresesi | Mehmet Akif Ersoy Parkı,food | museum_historic | viewpoint_attraction | park_garden,3938.4863713147893,561.5136286852107,False,86.32 | 374.91 | 1001.03 | 717.67 | 1758.57,97
astar,8735018410 | 5244807882 | 6916379085 | 5110342145,Mehmet Akif Ersoy Parkı | Merzifonlu Kara Mustafa Paşa Medresesi | İstanbul’un Orta Noktası | Anit kafe,park_garden | viewpoint_attraction | museum_historic | food,3938.4863713147884,561.5136286852116,False,1758.57 | 717.67 | 1001.03 | 374.91 | 86.32,97
astar,5244807882 | 8735018410 | 6916379085 | 5110342145,Merzifonlu Kara Mustafa Paşa Medresesi | Mehmet Akif Ersoy Parkı | İstanbul’un Orta Noktası | Anit kafe,viewpoint_attraction | park_garden | museum_historic | food,3938.4863713147884,561.5136286852116,False,1040.90 | 717.67 | 1718.69 | 374.91 | 86.32,97
astar,5110342195 | 9867832017 | 13530207351 | 6916379085,Gülsoy cafe | Rainbow stairs | Hoca Ahmet Yesevi Parkı | İstanbul’un Orta Noktası,food | viewpoint_attraction | park_garden | museum_historic,5061.601967562611,561.6019675626112,False,131.50 | 927.02 | 1796.99 | 1917.50 | 288.59,140
astar,6916379085 | 13530207351 | 9867832017 | 5110342195,İstanbul’un Orta Noktası | Hoca Ahmet Yesevi Parkı | Rainbow stairs | Gülsoy cafe,museum_historic | park_garden | viewpoint_attraction | food,5061.601967562612,561.6019675626121,False,288.59 | 1917.50 | 1796.99 | 927.02 | 131.50,140
astar,4763681623 | 5112732265 | 5110342147 | 9867832017,Alfred Heilbronn Botanik Bahçesi | Beyazıt Türk Hamam Kültürü Müzesi | tebessüm kafe | Rainbow stairs,park_garden | museum_historic | food | viewpoint_attraction,3937.198902205525,562.801097794475,False,866.06 | 1155.67 | 354.15 | 765.80 | 795.52,88
astar,4763681623 | 5110342147 | 5112732265 | 9867832017,Alfred Heilbronn Botanik Bahçesi | tebessüm kafe | Beyazıt Türk Hamam Kültürü Müzesi | Rainbow stairs,park_garden | food | museum_historic | viewpoint_attraction,3937.198902205525,562.801097794475,False,866.06 | 944.28 | 354.15 | 977.19 | 795.52,88
astar,9867832017 | 5112732265 | 5110342147 | 4763681623,Rainbow stairs | Beyazıt Türk Hamam Kültürü Müzesi | tebessüm kafe | Alfred Heilbronn Botanik Bahçesi,viewpoint_attraction | museum_historic | food | park_garden,3937.198902205525,562.801097794475,False,795.52 | 977.19 | 354.15 | 944.28 | 866.06,88
astar,9867832017 | 5110342147 | 5112732265 | 4763681623,Rainbow stairs | tebessüm kafe | Beyazıt Türk Hamam Kültürü Müzesi | Alfred Heilbronn Botanik Bahçesi,viewpoint_attraction | food | museum_historic | park_garden,3937.198902205525,562.801097794475,False,795.52 | 765.80 | 354.15 | 1155.67 | 866.06,88
astar,5110342147 | 4506783904 | 8735018410 | 5244807882,tebessüm kafe | Kanuni Sultan Suleyman 1 Turbesi | Mehmet Akif Ersoy Parkı | Merzifonlu Kara Mustafa Paşa Medresesi,food | museum_historic | park_garden | viewpoint_attraction,3936.699576341161,563.300423658839,False,146.40 | 428.20 | 1603.54 | 717.67 | 1040.90,99
astar,5244807882 | 8735018410 | 4506783904 | 5110342147,Merzifonlu Kara Mustafa Paşa Medresesi | Mehmet Akif Ersoy Parkı | Kanuni Sultan Suleyman 1 Turbesi | tebessüm kafe,viewpoint_attraction | park_garden | museum_historic | food,3936.69957634116,563.3004236588399,False,1040.90 | 717.67 | 1603.54 | 428.20 | 146.40,99
astar,6916379085 | 5110342147 | 13530207351 | 9867832017,İstanbul’un Orta Noktası | tebessüm kafe | Hoca Ahmet Yesevi Parkı | Rainbow stairs,museum_historic | food | park_garden | viewpoint_attraction,5063.640242495815,563.6402424958151,False,288.59 | 340.79 | 1841.74 | 1796.99 | 795.52,136
astar,9867832017 | 13530207351 | 5110342147 | 6916379085,Rainbow stairs | Hoca Ahmet Yesevi Parkı | tebessüm kafe | İstanbul’un Orta Noktası,viewpoint_attraction | park_garden | food | museum_historic,5063.640242495817,563.6402424958169,False,795.52 | 1796.99 | 1841.74 | 340.79 | 288.59,136
astar,5112732265 | 5110342145 | 4895209121 | 10127887983,Beyazıt Türk Hamam Kültürü Müzesi | Anit kafe | Laleli | Keyci Hatun Parkı,museum_historic | food | viewpoint_attraction | park_garden,5064.925045547308,564.9250455473084,False,469.78 | 470.05 | 984.54 | 1208.51 | 1932.06,122
astar,10127887983 | 4895209121 | 5110342145 | 5112732265,Keyci Hatun Parkı | Laleli | Anit kafe | Beyazıt Türk Hamam Kültürü Müzesi,park_garden | viewpoint_attraction | food | museum_historic,5064.925045547309,564.9250455473093,False,1932.06 | 1208.51 | 984.54 | 470.05 | 469.78,122
astar,4895209121 | 10127887983 | 5110342145 | 5112732265,Laleli | Keyci Hatun Parkı | Anit kafe | Beyazıt Türk Hamam Kültürü Müzesi,viewpoint_attraction | park_garden | food | museum_historic,5064.925045547309,564.9250455473093,False,898.22 | 1208.51 | 2018.37 | 470.05 | 469.78,122
astar,5112732265 | 5110342145 | 10127887983 | 4895209121,Beyazıt Türk Hamam Kültürü Müzesi | Anit kafe | Keyci Hatun Parkı | Laleli,museum_historic | food | park_garden | viewpoint_attraction,5064.92504554731,564.9250455473102,False,469.78 | 470.05 | 2018.37 | 1208.51 | 898.22,122
astar,4506783904 | 4895209121 | 10127887983 | 5110342147,Kanuni Sultan Suleyman 1 Turbesi | Laleli | Keyci Hatun Parkı | tebessüm kafe,museum_historic | viewpoint_attraction | park_garden | food,5066.894908739842,566.8949087398423,False,448.67 | 1295.49 | 1208.51 | 1967.83 | 146.40,111
astar,5110342147 | 10127887983 | 4895209121 | 4506783904,tebessüm kafe | Keyci Hatun Parkı | Laleli | Kanuni Sultan Suleyman 1 Turbesi,food | park_garden | viewpoint_attraction | museum_historic,5066.894908739843,566.8949087398432,False,146.40 | 1967.83 | 1208.51 | 1295.49 | 448.67,111
astar,6916379085 | 5110342145 | 8735018410 | 4895209121,İstanbul’un Orta Noktası | Anit kafe | Mehmet Akif Ersoy Parkı | Laleli,museum_historic | food | park_garden | viewpoint_attraction,5067.355735347406,567.3557353474062,False,288.59 | 374.91 | 1758.83 | 1746.80 | 898.22,119
astar,4895209121 | 8735018410 | 5110342145 | 6916379085,Laleli | Mehmet Akif Ersoy Parkı | Anit kafe | İstanbul’un Orta Noktası,viewpoint_attraction | park_garden | food | museum_historic,5067.355735347406,567.3557353474062,False,898.22 | 1746.80 | 1758.83 | 374.91 | 288.59,119
astar,8735018410 | 4895209121 | 5110342147 | 6916379085,Mehmet Akif Ersoy Parkı | Laleli | tebessüm kafe | İstanbul’un Orta Noktası,park_garden | viewpoint_attraction | food | museum_historic,5068.74270565621,568.7427056562101,False,1758.57 | 1746.80 | 934.00 | 340.79 | 288.59,117
astar,6916379085 | 5110342147 | 4895209121 | 8735018410,İstanbul’un Orta Noktası | tebessüm kafe | Laleli | Mehmet Akif Ersoy Parkı,museum_historic | food | viewpoint_attraction | park_garden,5068.742705656212,568.7427056562119,False,288.59 | 340.79 | 934.00 | 1746.80 | 1758.57,117
astar,6916379085 | 5110342195 | 13530207351 | 9867832017,İstanbul’un Orta Noktası | Gülsoy cafe | Hoca Ahmet Yesevi Parkı | Rainbow stairs,museum_historic | food | park_garden | viewpoint_attraction,5069.037456591226,569.0374565912261,False,288.59 | 157.10 | 2030.83 | 1796.99 | 795.52,137
astar,9867832017 | 13530207351 | 5110342195 | 6916379085,Rainbow stairs | Hoca Ahmet Yesevi Parkı | Gülsoy cafe | İstanbul’un Orta Noktası,viewpoint_attraction | park_garden | food | museum_historic,5069.037456591227,569.037456591227,False,795.52 | 1796.99 | 2030.83 | 157.10 | 288.59,137
astar,4763681623 | 5110342142 | 5110342145 | 5244807882,Alfred Heilbronn Botanik Bahçesi | Molla Hüsrev cami Turbası | Anit kafe | Merzifonlu Kara Mustafa Paşa Medresesi,park_garden | museum_historic | food | viewpoint_attraction,3930.7468222322514,569.2531777677486,False,866.06 | 855.25 | 127.37 | 1041.16 | 1040.90,89
astar,5244807882 | 5110342145 | 5110342142 | 4763681623,Merzifonlu Kara Mustafa Paşa Medresesi | Anit kafe | Molla Hüsrev cami Turbası | Alfred Heilbronn Botanik Bahçesi,viewpoint_attraction | food | museum_historic | park_garden,3930.7468222322514,569.2531777677486,False,1040.90 | 1041.16 | 127.37 | 855.25 | 866.06,89
astar,5110342145 | 5244807882 | 5110342142 | 4763681623,Anit kafe | Merzifonlu Kara Mustafa Paşa Medresesi | Molla Hüsrev cami Turbası | Alfred Heilbronn Botanik Bahçesi,food | viewpoint_attraction | museum_historic | park_garden,3930.7468222322514,569.2531777677486,False,86.32 | 1041.16 | 1081.95 | 855.25 | 866.06,89
astar,4763681623 | 5110342142 | 5244807882 | 5110342145,Alfred Heilbronn Botanik Bahçesi | Molla Hüsrev cami Turbası | Merzifonlu Kara Mustafa Paşa Medresesi | Anit kafe,park_garden | museum_historic | viewpoint_attraction | food,3930.746822232251,569.2531777677491,False,866.06 | 855.25 | 1081.95 | 1041.16 | 86.32,89
astar,5110342145 | 8735018410 | 6916379085 | 4895209121,Anit kafe | Mehmet Akif Ersoy Parkı | İstanbul’un Orta Noktası | Laleli,food | park_garden | museum_historic | viewpoint_attraction,5071.688981145891,571.6889811458914,False,86.32 | 1758.83 | 1718.69 | 609.63 | 898.22,127
astar,4895209121 | 6916379085 | 8735018410 | 5110342145,Laleli | İstanbul’un Orta Noktası | Mehmet Akif Ersoy Parkı | Anit kafe,viewpoint_attraction | museum_historic | park_garden | food,5071.688981145892,571.6889811458923,False,898.22 | 609.63 | 1718.69 | 1758.83 | 86.32,127
astar,5244807882 | 4763681623 | 5110342145 | 4506783904,Merzifonlu Kara Mustafa Paşa Medresesi | Alfred Heilbronn Botanik Bahçesi | Anit kafe | Kanuni Sultan Suleyman 1 Turbesi,viewpoint_attraction | park_garden | food | museum_historic,3927.671943243271,572.328056756729,False,1040.90 | 1296.00 | 779.75 | 362.36 | 448.67,108
astar,4506783904 | 5110342145 | 4763681623 | 5244807882,Kanuni Sultan Suleyman 1 Turbesi | Anit kafe | Alfred Heilbronn Botanik Bahçesi | Merzifonlu Kara Mustafa Paşa Medresesi,museum_historic | food | park_garden | viewpoint_attraction,3927.6719432432706,572.3280567567294,False,448.67 | 362.36 | 779.75 | 1296.00 | 1040.90,108
astar,5110342145 | 4895209121 | 10127887983 | 4506783904,Anit kafe | Laleli | Keyci Hatun Parkı | Kanuni Sultan Suleyman 1 Turbesi,food | viewpoint_attraction | park_garden | museum_historic,5072.404332497391,572.4043324973909,False,86.32 | 984.54 | 1208.51 | 2344.37 | 448.67,116
astar,4506783904 | 10127887983 | 4895209121 | 5110342145,Kanuni Sultan Suleyman 1 Turbesi | Keyci Hatun Parkı | Laleli | Anit kafe,museum_historic | park_garden | viewpoint_attraction | food,5072.404332497392,572.4043324973918,False,448.67 | 2344.37 | 1208.51 | 984.54 | 86.32,116
astar,5112732265 | 5244807985 | 5110342193 | 4763681623,Beyazıt Türk Hamam Kültürü Müzesi | Çorlulu Alipaşa Madresesi | Hermes cafe | Alfred Heilbronn Botanik Bahçesi,museum_historic | viewpoint_attraction | food | park_garden,3927.234761270748,572.7652387292519,False,469.78 | 630.73 | 1088.88 | 871.79 | 866.06,88
astar,4763681623 | 5110342193 | 5112732265 | 5244807985,Alfred Heilbronn Botanik Bahçesi | Hermes cafe | Beyazıt Türk Hamam Kültürü Müzesi | Çorlulu Alipaşa Madresesi,park_garden | food | museum_historic | viewpoint_attraction,3927.234761270747,572.7652387292528,False,866.06 | 871.79 | 510.14 | 630.73 | 1048.51,88
astar,5244807985 | 5112732265 | 5110342193 | 4763681623,Çorlulu Alipaşa Madresesi | Beyazıt Türk Hamam Kültürü Müzesi | Hermes cafe | Alfred Heilbronn Botanik Bahçesi,viewpoint_attraction | museum_historic | food | park_garden,3927.234761270747,572.7652387292528,False,1048.51 | 630.73 | 510.14 | 871.79 | 866.06,88
astar,4763681623 | 5110342193 | 5244807985 | 5112732265,Alfred Heilbronn Botanik Bahçesi | Hermes cafe | Çorlulu Alipaşa Madresesi | Beyazıt Türk Hamam Kültürü Müzesi,park_garden | food | viewpoint_attraction | museum_historic,3927.2347612707467,572.7652387292533,False,866.06 | 871.79 | 1088.88 | 630.73 | 469.78,88
astar,8735018410 | 5112732265 | 5110342145 | 9867832017,Mehmet Akif Ersoy Parkı | Beyazıt Türk Hamam Kültürü Müzesi | Anit kafe | Rainbow stairs,park_garden | museum_historic | food | viewpoint_attraction,5074.123093639307,574.1230936393067,False,1758.57 | 1340.79 | 470.05 | 709.20 | 795.52,121
astar,5112732265 | 8735018410 | 5110342145 | 9867832017,Beyazıt Türk Hamam Kültürü Müzesi | Mehmet Akif Ersoy Parkı | Anit kafe | Rainbow stairs,museum_historic | park_garden | food | viewpoint_attraction,5074.123093639308,574.1230936393076,False,469.78 | 1340.79 | 1758.83 | 709.20 | 795.52,121
astar,9867832017 | 5110342145 | 5112732265 | 8735018410,Rainbow stairs | Anit kafe | Beyazıt Türk Hamam Kültürü Müzesi | Mehmet Akif Ersoy Parkı,viewpoint_attraction | food | museum_historic | park_garden,5074.123093639308,574.1230936393076,False,795.52 | 709.20 | 470.05 | 1340.79 | 1758.57,121
