osmid,y,x,elevation
316925368,41.0094776,28.9356395,52.22146606445312
316925393,41.0111512,28.9314716,54.19359588623047
316925788,41.0111162,28.9334775,50.18683242797852
316925791,41.0110968,28.9350488,48.35126876831055
316925794,41.0110556,28.9378502,51.01113510131836
316926024,41.0104719,28.9378258,52.76783752441406
316926025,41.0128639,28.9378596,43.98953247070312
316926047,41.0123786,28.9342472,53.88173675537109
316926048,41.009529,28.93301,52.8370361328125
316926057,41.0100491,28.9330248,52.65695953369141
316926059,41.0111392,28.9321417,53.64056777954102
316926088,41.0100499,28.9334539,51.30501174926758
316926098,41.0133372,28.9322585,57.15970611572266
316926107,41.0128721,28.9347833,53.63821411132812
316926114,41.0132997,28.9339044,54.74557495117188
316960499,41.0242593,28.9293802,42.1386604309082
316961437,41.0193552,28.9321497,36.16156005859375
316964801,41.0117324,28.9334903,52.81306076049805
316964802,41.0117166,28.9346449,53.62921905517578
316964804,41.0116796,28.9378492,50.00959396362305
316964805,41.011646,28.9388535,44.21110916137695
316964806,41.0137708,28.9366287,48.74089050292969
316964818,41.0167923,28.9367984,29.73347473144531
316966366,41.0110843,28.935618,54.28710556030273
316966367,41.0073656,28.9356054,43.39383316040039
316966369,41.0078732,28.9356058,47.64226531982422
316966370,41.00791,28.9334052,47.3338508605957
316966371,41.007942,28.9312688,47.07459259033203
316966372,41.0084852,28.931286,48.19073867797852
316966373,41.0084417,28.9334379,48.52698516845703
316966374,41.0083847,28.9356363,48.74812698364258
316966377,41.0073794,28.9333962,47.22878265380859
316966381,41.0117738,28.9314932,54.42131805419922
316966390,41.0100461,28.9356494,52.48647689819336
316968591,41.0070229,28.9285615,40.81663513183594
316968592,41.0074935,28.9286472,40.4788932800293
316968594,41.0084137,28.928774,41.63436508178711
316968596,41.0089655,28.9291562,45.8228759765625
316968598,41.0095629,28.9297971,49.68566513061523
316968601,41.0107095,28.9305552,54.46388626098633
316968602,41.0105534,28.9314687,53.83127975463867
316968604,41.0105398,28.9310132,53.8503532409668
316968607,41.0111049,28.9299817,53.96611785888672
316968620,41.012651,28.9284014,51.40176010131836
316968622,41.012249,28.9294201,53.9339599609375
316968627,41.0130706,28.9276023,50.72379684448242
316968630,41.0134153,28.92657,52.32726669311523
316968635,41.0127649,28.925773,49.34785461425781
316968638,41.013594,28.9268482,53.24139022827148
316968641,41.0148501,28.9277699,55.96129989624023
316968647,41.0158173,28.9259592,58.02523422241211
316968648,41.0161008,28.9250612,60.02906036376953
316968650,41.0170628,28.9265563,58.52181243896484
316968655,41.018317,28.9258171,60.27849197387695
316968658,41.0137099,28.9256306,52.3514404296875
316968661,41.0135403,28.9243986,53.4616813659668
316968667,41.013663,28.9247913,52.56401443481445
316968668,41.0141507,28.9248719,56.21158981323242
316968669,41.0143705,28.9249454,56.31301116943359
316968670,41.0145488,28.9246573,56.79338836669922
316968672,41.0167768,28.9258181,59.03384780883789
316968676,41.0176585,28.9281147,55.56377029418945
316968678,41.0133706,28.9275654,52.53721618652344
316968700,41.0154076,28.9294105,56.58386611938477
316968702,41.014694,28.9277409,55.75315475463867
316968706,41.0147409,28.9283324,55.79579544067383
316968711,41.0141341,28.9292303,56.41617965698242
316968713,41.0138883,28.9298549,56.71668243408203
316968715,41.0131338,28.9304517,56.73850250244141
316968719,41.0139262,28.9282907,54.34146881103516
316968726,41.0126551,28.9261303,48.84215545654297
316968734,41.0118388,28.9279571,48.34326171875
316968736,41.0119003,28.9287166,50.1783332824707
316968738,41.0116681,28.9273767,46.04396057128906
316968745,41.0119032,28.9259491,46.15203475952148
316974255,41.0139824,28.9234414,54.24014282226562
